#,Material,Family,Ea(eV),sigma_0(S/m),r_eff(um),T_start(K),T_onset(K),E(V/cm),J_crit(A/mm²),J_calc(mA/mm²),J_limit(mA/mm²),T_pred(K),Error%,DOI,d50_nm,green_density_pct,heating_rate_Cmin,Tm_K,Eg_eV,Ef_eV,T_Tm
2,(La0.2Nd0.2Sm0.2Eu0.2Gd0.2)2Zr2O7,pyrochlore,0.5,1.0,999989.6527711832,1323,1323,150.0,,0.19,50.0,250.0,,10.1111/jace.19505,684.0,,,2500,3.0,4.0,0.5292
3,"(Mg,Co,Ni,Cu,Zn)1-xLixO",high_entropy_oxide,0.3,10000.0,999989.6527711832,298,298,625.0,,5.27,50.0,250.0,,10.3390/ma15113836,,,,1728,0.0,1.4,0.1724537037037037
4,"(Mg,Co,Ni,Cu,Zn)1-xLixO",high_entropy_oxide,0.3,10000.0,365.0162768554297,298,298,278.0,,2.35,50.0,250.0,,10.3390/ma15113836,,,,1728,0.0,1.4,0.1724537037037037
5,"(Mg,Co,Ni,Cu,Zn)1-xLixO",high_entropy_oxide,0.3,10000.0,365.0162768554297,298,298,50.0,,0.42,50.0,250.0,,10.3390/ma15113836,,,,1728,0.0,1.4,0.1724537037037037
6,(Nb1/3Ta1/3Ti1/3)N,nitride,0.2,100.0,999989.6527711832,1123,1123,32.0,,40.51,100.0,250.0,,10.1111/jace.17226,10000.0,,,2500,3.0,4.0,0.4492
14,Gd:Sm-Pr-CeO2,oxide,0.6,200.0,365.0162768554297,998,998,50.0,,0.93,80.0,250.0,,10.3390/ma12081218,10000.0,,,2673,3.2,1.5,0.3733632622521511
15,Irradiated-YSZ,fluorite,0.5,1.0,999989.6527711832,1133,1133,150.0,,0.09,40.0,250.0,,10.1016/j.scriptamat.2019.06.004,,,,2988,5.0,5.5,0.3791834002677376
16,KNN,perovskite,0.5,10.0,365.0162768554297,1173,1173,50.0,,0.36,50.0,250.0,,10.1111/jace.18119,5000.0,94.0,,1413,3.5,4.0,0.8301486199575372
17,MgAl2O4,spinel,0.7,10.0,999989.6527711832,1423,1423,100.0,,0.33,60.0,250.0,,10.1111/jace.15974,25.0,,10.0,2408,7.8,6.0,0.5909468438538206
21,MnCo2O4,spinel,0.2,100000.0,7203.63719762106,423,423,10.0,,414.03,100.0,250.0,,10.1016/j.jeurceramsoc.2014.02.012,30.0,67.0,,1673,1.5,2.0,0.2528392109982068
22,MnCo2O4,spinel,0.2,100000.0,7505.757601496681,523,523,5.0,,591.07,100.0,250.0,,10.1016/j.jeurceramsoc.2014.02.012,30.0,67.0,,1673,1.5,2.0,0.3126120741183503
23,MnCo2O4,spinel,0.2,100000.0,7505.757601496681,623,623,2.0,,482.02,100.0,250.0,,10.1016/j.jeurceramsoc.2014.02.012,30.0,67.0,,1673,1.5,2.0,0.3723849372384937
33,Porous-SiO2,oxide,0.7,1.0,999989.6527711832,873,873,3000.0,,0.03,60.0,250.0,,10.1016/j.jnoncrysol.2017.09.024,100.0,,,1986,9.0,7.0,0.4395770392749245
39,SrTiO3-Fe,perovskite,0.0,1000.0,999989.6527711832,1371,1371,140.0,,,50.0,250.0,,10.1016/j.actamat.2018.12.007,20.0,87.6,,2353,3.2,6.0,0.5826604334891627
40,SrTiO3-Fe,perovskite,0.0,1000.0,999989.6527711832,1251,1251,140.0,,,50.0,250.0,,10.1016/j.actamat.2018.12.007,20.0,87.6,,2353,3.2,6.0,0.5316617084572886
41,SrTiO3-Fe,perovskite,0.0,1000.0,999989.6527711832,1127,1127,140.0,,,50.0,250.0,,10.1016/j.actamat.2018.12.007,20.0,87.6,,2353,3.2,6.0,0.4789630259243519
45,TiO₂ (Single Crystal),oxide,0.55,100.0,365.0162768554297,300,300,450.0,,,20.0,250.0,,10.1111/jace.18798,900.0,,,2500,3.0,4.0,0.12
46,TiO₂ (Single Crystal),oxide,0.55,100.0,365.0162768554297,300,300,500.0,,,20.0,250.0,,10.1111/jace.18798,900.0,,,2500,3.0,4.0,0.12
47,UO₂,actinide-oxide,0.2,100000.0,365.0162768554297,300,300,187.0,,816.32,50.0,250.0,,10.1016/j.jnucmat.2017.06.022,,55.0,,2500,3.0,4.0,0.12
48,UO₂,actinide-oxide,0.2,100000.0,365.0162768554297,402,402,125.0,,3885.62,50.0,250.0,,10.1016/j.jnucmat.2017.06.022,,55.0,,2500,3.0,4.0,0.1608
62,B4C,carbide,1.35,1000.0,999989.6527711832,1473,1473,40.0,,0.1,60.0,250.0,,10.1016/j.ceramint.2024.05.250,1120.0,50.0,,2763,2.5,3.0,0.5331161780673181
70,GDC,fluorite,0.91,50.0,365.0162768554297,973,973,100.0,,0.01,60.0,250.0,,10.1111/jace.17847,130.0,,,2673,3.2,1.5,0.3640104751215862
73,BaTiO3,perovskite,0.6,10.0,999989.6527711832,1273,1273,50.0,,0.21,60.0,250.0,,10.2109/jcersj2.20181,10.0,,,1898,3.2,5.5,0.6707060063224447
122,GDC,fluorite,0.91,250.0,365.0162768554297,1023,1023,75.0,,0.06,60.0,250.0,,10.1111/jace.17847,130.0,,,2673,3.2,1.5,0.382716049382716
133,Porous-SiO2,glass,0.9,1000.0,999989.6527711832,873,873,3000.0,,1.9,60.0,250.0,,10.1016/j.jnoncrysol.2017.09.024,100.0,,,1986,9.0,7.0,0.4395770392749245
134,Porous-SiO2,glass,0.9,1000.0,999989.6527711832,973,973,2500.0,,5.43,60.0,250.0,,10.1016/j.jnoncrysol.2017.09.024,100.0,,,1986,9.0,7.0,0.4899295065458207
135,Porous-SiO2,glass,0.3,1.0,999989.6527711832,923,923,2750.0,,6.32,60.0,250.0,,10.1016/j.jnoncrysol.2017.09.024,100.0,,,1986,9.0,7.0,0.4647532729103726
